QN,10148,1,108-09159,108-09 159 ,STREET,4101480001,1041621,192458,
QN,2004,6,108-2048,108-20 48 ,AVENUE,4020040006,1024310,211081,
QN,12197,17,115-20158,115-20 158 ,STREET,4121970017,1043275,189324,
QN,11071,46,116-30200,116-30 200 ,STREET,4110710046,1052810,192588,
QN,12786,24,119-40227,119-40 227 ,STREET,4127860024,1057307,190400,
QN,11884,1,130-23150,130-23 150 ,AVENUE,4118840001,1036985,181677,
QN,11884,1,130-23150,130-23 150 ,AVENUE,4118840001,1036985,181677,
QN,13171,24,137-23230,137-23 230 ,STREET,4131710024,1055642,184218,
QN,10043,20,144-27105,144-27 105 ,AVENUE,4100430020,1037624,191707,
QN,5440,81,161-1546,161-15 46 ,AVENUE,4054400081,1038237,214046,
QN,10334,15,177-20106,177-20 106 ,AVENUE,4103340015,1045246,195477,
QN,10767,24,218-40100,218-40 100 ,AVENUE,4107670024,1057321,199807,
QN,13176,38,228-14138,228-14 138 ,AVENUE,4131760038,1055042,183959,
QN,323,34,34-149,34-14 9 ,STREET,4003230034,1000883,217932,
QN,626,1,34-1531,34-15 31 ,AVENUE,4006260001,1006315,217324,
QN,1747,79,35-11105,35-11 105 ,STREET,4017470079,1022231,214291,
QN,5274,64,35-44159,35-44 159 ,STREET,4052740064,1037836,217830,
QN,1281,54,35-4581,35-45 81 ,STREET,4012810054,1016082,212730,
QN,374,12,37-2132,37-21 32 ,STREET,4003740012,1003559,213942,E-218
QN,312,500,38-54,38-54 ,RAILROAD AVENUE,4003120500,1002425,205289,
QN,1238,6,39-6552,39-65 52 ,STREET,4012380006,1008636,211336,
QN,5547,72,45-70202,45-70 202 ,STREET,4055470072,1045123,214511,
QN,2003,1,47-03108,47-03 108 ,STREET,4020030001,1024104,211220,
QN,2003,1,47-03108,47-03 108 ,STREET,4020030001,1024104,211220,
QN,2003,1,47-03108,47-03 108 ,STREET,4020030001,1024104,211220,
QN,7443,52,56-07214,56-07 214 ,STREET,4074430052,1049501,212754,
QN,1212,44,57,57 ,STREET,4012120044,,,
QN,2128,14,64-35102,64-35 102 ,STREET,4021280014,1025211,205640,
QN,6789,1,70-10164,70-10 164 ,STREET,4067890001,1038083,205684,
QN,2248,228,70-35113,70-35 113 ,STREET,4022480228,1029157,202988,
QN,6697,12,70-35150,70-35 150 ,STREET,4066970012,1034990,205199,
QN,1080,1,85-0124,85-01 24 ,AVENUE,4010800001,1016521,218440,
