1,1 ,BEACH 105TH ST
3,3 ,RAILROAD PLACE
3,3 ,RAILROAD PLACE
3,3 ,RAILROAD PLACE
3,3 ,RAILROAD PLACE
5,5,TH ST & 47TH AVE
11,11,TH ST/QUEENS PLAZA S
11,11,TH ST/38TH AVE
11,11,TH ST BTWN 37TH & 38TH AVES.
11,11,TH ST / 38TH AVE
11,11,TH ST / 38TH AVE
11,11,TH ST & 46TH AVE
11,11,TH ST & 43RD RD
11,11,TH ST & 41ST RD
11,11,TH ST & 38TH AVE
12,12,TH ST/47TH AVE
12,12,TH ST / 41ST AVE
12,12,TH ST & 40TH AVE
12,12,TH ST & 40TH AVE
19,19,TH DRIVE AND 21ST ST
20,20,TH AVENUE/31ST STREET
20,20,TH AVENUE/21ST STREET
20,20,TH AVENUE AT 21ST STREE
20,20,TH AVENUE 31ST STREET
20,20,TH AVENUE & 31ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVENUE & 21ST STREET
20,20,TH AVE 31ST ST
20,20,TH AVE & 31TH ST
20,20,TH AVE & 31ST ST
20,20,TH AVE & 21ST ST
20,20,TH AVE & 21ST ST
20,20,TH AVE & 21ST ST
20,20,TH AV & 21ST ST
20,20,TH & 21ST STREET
20,20,TH & 21ST STREET
20,20 ,CONTINENTAL AVE
20,20 ,CONTINENTAL AVE
21,21,ST STREET N/O 40TH AVE
21,21,ST STREET / 35TH AVENUE
21,21,ST STREET & 41ST AVE
21,21,ST STREET
21,21,ST ST/38TH AVE
21,21,ST ST/38TH & 39TH ST
21,21,ST ST BET 39TH & 40TH AVE
21,21,ST ST BET 38TH & 39TH AVE
21,21,ST ST & 41ST AVE
21,21,ST ST & 38TH AVE
21,21,ST ST & 38TH AVE
21,21,ST ST & 38TH AVE
21,21,ST ST & 20TH AVENUE
21,21,AVE AND 41ST
21,21 ,STREET  &  41 AVENUE
22,22,ND ST S/O 37TH AVE
30,30,TH AVE & 21 ST
31,31,ST STREET AT 20TH AVENUE
31,31,ST STREET AND 20TH AVE
31,31,ST STREET & 20TH AVENUE
31,31,ST STREET & 20TH AVENUE
31,31,ST ST & 20TH AVENUE
31,31 ,ST ST/20TH AV
31,31 ,ST AND 20TH AVE
35,35,TH AVE/VERNON BLVD
35,35 ,VERNON BLVD
35,35 ,TH  AVE AND VERNON BLVD
36,36,TH AVENUE/VERNON BLVD
36,36,TH AVE & VERNON BLVD
37,37,TH AVE BETWEEN 59TH AND 60TH ST
38,38,TH AVE AND 11TH ST
38,38,TH AVE & 10TH ST
40,40,TH RD /COLLAGE POINT BLVD
40,40,TH AVENUE & VERNON BLVD
40,40,TH AVE & VERNON BLVD
40,40,TH AVE & 13TH ST
42,42 ,WEST 12TH RD
44,44,TH ROAD AND 24TH ST
57,57,TH AVE/43RD ST
57,57 ,AVE
89,89 ,JOHN STREET.     SUBSTATION
118,118 ,DWAYNE RD
123,123 ,DUANE RD
130,130,TH ST AND 90TH AVE
135,135,TH ST/P S 116
147,147,TH  AVE
154,154 ,BEACH 84 ST
210,210 ,EAST 8TH RD
350,350 ,BEACH 54TH ST
350,350 ,BEACH 54TH ST
357,357 ,BEACH 79TH STREET
423,423 ,BEACH 123RD ST
502,5-02 ,BORDEN AVENUE
505,505 ,BEACH 129TH ST
680,680 ,CEDAR GROVE AVE
680,680 ,CEDAR GROVE AVE
903,9-03 ,THRU 9-21 44TH ROAD
920,920 ,WINCHESTER BLVD
1223,12-23 ,JACKSON AVENUE
1346,13-46 ,BEACH CHANNEL DRIVE
1378,1378 ,EGGERT PLACE
1710,17-10 ,STEINWAY STREET
1717,17-17 ,HAZEN STREET
1810,18-10 ,UTOPIA PARKWAY
1848,18-48 ,CORNAGA AVENUE
1919,19-19 ,HAZEN STREET
1937,1937 ,FLUSHING AVE
2005,20-05 ,SHORE BLVD
2117,21-17 ,JACKSON AVE
2209,22-09 ,QUEENS PLAZA NORTH
2301,23-01 ,QUEENS PLAZA SOUTH
2301,23-01 ,QUEENS PLAZA SOUTH
2310,23-10 ,QUEENS PLAZA SOUTH
2385,2385 ,Dickens St
2404,240 4,TH ST
2501,2501 ,JACKSON AVE
2627,26-27 ,COLLEGE PT BLVD
2701,27-01 ,JACKSON AVE
2811,28-11 ,QUEENS PLAZA NORTH
2811,28-11 ,COLLEGE POINT BOULEVARD
3025,30-25 ,GREENPOINT AVE
3025,30-25 ,GREENPOINT AVE
3027,30-27 ,GREENPOINT AVE
3049,30-49 ,CRESCENT STREET
3106,31-06 ,FARRINGTON ST
3125,31-25 ,DOWNING STREET
3202,32-02 ,LINDEN PL
3211,32-11 ,HARPER STREET
3232,32-32 ,QUEENS BLVD
3235,32-35 ,LINDEN PL
3235,32-35 ,LINDEN PL
3250,32-50 ,HUNTERS POINT AVE
3269,3269 ,GALE AVE
3269,3269 ,GALE AVE
3269,3269 ,GALE AVE
3409,34 -09 ,COLLEGE POINT BLVD
3417,34-17 ,NORTHERN BLVD
3444,34-44 ,STEINWAY ST
3451,34-51 ,BELL BLVD
3451,34-51 ,BELL BLVD
3458,34-58 ,VERNON BOULVARD  PURS
3458,34-58 ,VERNON BOULVARD  - PURS
3458,34-58 ,VERNON BLVD
3458,34-58 ,VERNON BL
3532,35-32 ,COLLEGE POINT BLVD
3558,35-58 ,VERNON BLVD.
3558,35-58 ,VERNON BLVD
3558,35-58 ,VERNON BLVD
3558,35-58 ,VERNON BLVD
3558,35-58 ,VERNON BLVD
3558,35-58 ,VERNON BLVD
3558,35-58 ,VERNON BLVD
3558,35-58 ,VERNON BLVD
3558,35-58 ,VERNON BLVD
3611,36-11 ,NORTHERN BLVD
3798,37-98 ,RAILROAD AVE
3820,38 -20 ,REVIEW AVE
3850,38-50 ,REVIEW AVE
3850,38-50 ,REVIEW AVE
3850,38-50 ,REVIEW AVE
3854,38-54 ,VERNON BOULEVARD
3854,38-54 ,VERNON BOULEVARD
3854,38-54 ,VERNON BOULEVARD
3854,38-54 ,VERNON BOULEVARD
3854,38-54 ,VERNON BOULEVARD
